label,n_seeds,L_unified,L_memoryTH
R1|LANDMARK_DECAY_RATE|0.66,5,5.8085,18.4734
R1|LANDMARK_DECAY_RATE|0.74,5,4.6936,15.3632
R1|LANDMARK_DECAY_RATE|0.9,5,5.0876,13.6671
R1|LANDMARK_DECAY_RATE|0.96,5,4.8431,15.6617
R1|LOOMING_BOOST_DECAY|0.72,5,4.5227,14.7873
R1|LOOMING_BOOST_DECAY|0.78,5,4.5468,14.897
R1|LOOMING_BOOST_DECAY|0.84,5,4.5238,14.7921
R1|LOOMING_BOOST_DECAY|0.9,5,4.3643,14.417
R1|LOOMING_BOOST_DECAY|0.96,5,5.0726,14.5161
R1|LOOMING_BOOST_PEAK|0.21,5,4.6231,14.7873
R1|LOOMING_BOOST_PEAK|0.28,5,4.5227,14.7873
R1|LOOMING_BOOST_PEAK|0.42,5,4.5468,14.897
R1|LOOMING_BOOST_PEAK|0.49,5,4.5238,14.7921
R1|MEMORY_ACTIVE_ABSENT_STEPS_TH|14,5,7.405,24.2397
R1|MEMORY_ACTIVE_ABSENT_STEPS_TH|18,5,6.9168,20.8064
R1|MEMORY_ACTIVE_ABSENT_STEPS_TH|7,5,30.9066,89.898
R1|MEMORY_ACTIVE_ABSENT_STEPS_TH|9,5,17.1675,47.1022
R1|PROBE_RELIEF_RATIO|0.2,5,11.5137,44.317
R1|PROBE_RELIEF_RATIO|0.3,5,11.5137,44.317
R1|PROBE_RELIEF_RATIO|0.5,5,4.6073,14.897
R1|PROBE_RELIEF_RATIO|0.6,5,4.6073,14.897
R1|VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK|0.28,5,4.5468,14.897
R1|VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK|0.34,5,4.5468,14.897
R1|VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK|0.48,5,4.6756,14.897
R1|VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK|0.56,5,4.5967,14.2574
R2|LANDMARK_DECAY_RATE|0.78,5,5.6982,15.1422
R2|LANDMARK_DECAY_RATE|0.86,5,5.3772,15.4056
R2|LOOMING_BOOST_DECAY|0.87,5,4.5468,14.897
R2|LOOMING_BOOST_DECAY|0.93,5,5.0817,14.5505
R2|LOOMING_BOOST_PEAK|0.315,5,4.3643,14.417
R2|LOOMING_BOOST_PEAK|0.385,5,4.3643,14.417
R2|MEMORY_ACTIVE_ABSENT_STEPS_TH|16,5,5.8871,18.2134
R2|PROBE_RELIEF_RATIO|0.45,5,4.4814,15.1669
R2|PROBE_RELIEF_RATIO|0.55,5,4.3643,14.417
R2|VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK|0.31,5,4.3643,14.417
final_memth|0.03,5,540.2659,210.141
final_memth|0.04,5,515.4712,216.7173
final_memth|0.05,5,520.7276,43.6907
final_memth|0.06,5,4.3643,14.417
final_memth|0.07,5,4.3643,14.417
final_memth|0.08,5,4.3643,14.417
incumbent|start,5,17.0101,31.8116
memth|0.03,5,601.2237,260.6735
memth|0.04,5,589.3326,269.2317
memth|0.05,5,479.7263,71.5184
memth|0.06,5,17.0101,31.8116
memth|0.07,5,17.0101,31.8116
memth|0.08,5,17.0101,31.8116
