mechanism_var,stop_probe_per_100steps,veh_reaction_prob,veh_reaction_delay_s,veh_miss_rate,veh_response_duration_steps,recovery_time_after_vehicle_s,move_direct_rate,iw_mean,iw_high_ratio,crossing_wait_s,stop_probe_after_landmark_rate,landmark_relief_effect,memory_retrieval_per_100steps,ref_loss_episodes_per_100steps,deprivation_mean,obstacle_hits_per_100steps,total_sim_time_s,total_steps
mech_net_priority_mean,-0.806,-0.479,-0.045,0.479,0.398,0.303,0.819,-0.821,-0.821,-0.258,-0.822,0.426,-0.778,-0.163,0.423,0.104,-0.819,-0.819
mech_gate_rate,-0.320,-0.547,-0.142,0.547,-0.268,-0.275,0.283,-0.233,-0.237,0.134,-0.071,0.392,-0.246,0.323,0.537,0.036,-0.267,-0.278
mech_looming_mean,-0.022,-0.078,-0.218,0.078,-0.245,-0.250,0.009,0.006,0.008,0.076,0.097,0.144,0.016,0.060,0.123,0.181,-0.004,-0.007
mech_looming_duration,-0.045,-0.055,-0.029,0.055,-0.002,-0.010,0.042,-0.042,-0.042,0.007,-0.034,0.007,-0.043,-0.022,0.052,-0.002,-0.043,-0.042
mech_sound_salience_mean,-0.299,-0.311,-0.245,0.311,-0.161,-0.199,0.262,-0.272,-0.271,0.132,-0.191,0.231,-0.256,-0.126,0.346,0.144,-0.274,-0.267
mech_veh_evidence_valid_rate,-0.054,0.084,-0.094,-0.084,-0.169,-0.157,0.070,-0.011,-0.009,-0.078,0.078,0.415,0.008,0.285,-0.045,0.460,-0.033,-0.052
mech_risk_mean,0.983,0.671,0.170,-0.671,-0.391,-0.261,-0.983,0.999,0.999,0.231,0.950,-0.439,0.924,0.278,-0.644,-0.058,0.995,0.990
mech_memory_active_rate,0.992,0.707,0.197,-0.707,-0.347,-0.218,-0.984,1.000,1.000,0.186,0.941,-0.459,0.933,0.283,-0.690,-0.065,0.997,0.991
mech_retrieval_load_mean,0.670,0.866,0.478,-0.866,0.344,0.435,-0.541,0.605,0.606,-0.510,0.457,-0.301,0.591,0.363,-0.982,-0.032,0.597,0.567
mech_retrieval_load_p90,,,,,,,,,,,,,,,,,,
