parameter,group,stop_probe_per_100steps,veh_reaction_prob,veh_reaction_delay_s,iw_mean,iw_p95,iw_high_ratio,crossing_wait_s,ref_loss_episodes_per_100steps,deprivation_mean,obstacle_hits_per_100steps,total_sim_time_s,total_steps
SEEV_VALUE_SAFETY_WEIGHT,a.风险融合,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SEEV_VALUE_PROGRESS_WEIGHT,a.风险融合,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SEEV_EXPECTANCY_RISK_WEIGHT,a.风险融合,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ACTR_RISK_CANE_GUIDANCE_RELIEF,a.风险融合,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ACTR_RISK_LANDMARK_RELIEF,a.风险融合,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PROBE_SAFE_STREAK_RELEASE_THRESHOLD,b.探测恢复,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ACTR_LOAD_RESUME_THRESHOLD,b.探测恢复,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PROBE_RELIEF_RATIO,b.探测恢复,0.5554,0.8326,7.2320,0.0417,0.0143,0.2759,0.3230,0.0476,0.0427,0.7378,0.0294,0.0769
PROBE_OVERLOAD_STREAK_TH,b.探测恢复,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
MEMORY_ACTIVE_RETRIEVAL_TH,c.参照丢失,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
MEMORY_ACTIVE_ABSENT_STEPS_TH,c.参照丢失,0.5934,3.7533,13.4515,0.5452,0.1387,1.3552,1.0946,0.2977,0.3733,1.2894,0.0605,0.0876
LANDMARK_DECAY_RATE,c.参照丢失,0.1627,1.0829,2.5000,0.0646,0.0139,0.1712,0.1716,0.0070,0.0107,0.4879,0.0030,0.0040
VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK,d.车辆逼近,0.0279,0.2458,1.7116,0.0118,0.0000,0.0419,0.0975,0.0089,0.0124,0.0792,0.0053,0.0089
LOOMING_BOOST_PEAK,d.车辆逼近,0.0594,0.0947,1.0149,0.0021,0.0000,0.0087,0.1170,0.0184,0.0212,0.2028,0.0049,0.0077
LOOMING_BOOST_DECAY,d.车辆逼近,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
