parameter,车辆逼近,地标触发,触觉引导,无参照,路口穿越
PROBE_RELIEF_RATIO,1.2476,1.2469,1.0103,2.8688,0.3487
MEMORY_ACTIVE_ABSENT_STEPS_TH,3.7216,4.2625,3.5618,5.8064,0.7187
LANDMARK_DECAY_RATE,1.4348,1.7932,0.6137,0.5435,0.4446
VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK,0.2476,0.8750,0.3068,0.3101,0.3300
LOOMING_BOOST_PEAK,0.9220,0.4045,0.0708,0.2310,0.1469
LOOMING_BOOST_DECAY,1.3759,0.8371,0.5266,0.5833,0.1356
ACTR_RISK_CANE_GUIDANCE_RELIEF,0.0000,0.0000,0.0116,0.0000,0.0000
ACTR_RISK_LANDMARK_RELIEF,0.0000,0.1191,0.0006,0.0000,0.0003
MEMORY_ACTIVE_RETRIEVAL_TH,2.8864,20.2611,62.6722,3.8377,0.8049
