parameter,category,risk_mean,risk_relief,probe_rate,response_prob,response_delay_s,post_trigger_probe,workload,episode_length,retrieval_rate,probe_time_share,veh_time_share
SEEV_VALUE_SAFETY_WEIGHT,风险感知与风险融合,0.0195,0.1158,0.0189,0.0712,0.4845,0.2202,0.0040,0.0291,0.1915,0.0229,0.1084
SEEV_VALUE_PROGRESS_WEIGHT,风险感知与风险融合,0.0089,0.0213,0.0041,0.1439,0.4845,0.0000,0.0058,0.0037,0.0000,0.0036,0.0019
SEEV_EXPECTANCY_RISK_WEIGHT,风险感知与风险融合,0.0119,0.0065,0.0014,0.1439,0.4845,0.0000,0.0026,0.0000,0.0000,0.0020,0.0000
ACTR_RISK_CANE_GUIDANCE_RELIEF,风险感知与风险融合,0.0025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
ACTR_RISK_LANDMARK_RELIEF,风险感知与风险融合,0.0021,0.1260,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
PROBE_RELIEF_RATIO,探测与恢复,0.0979,0.9995,0.7082,1.2476,0.3026,1.2469,0.0303,0.0460,0.4974,0.9286,0.1777
ACTR_LOAD_RESUME_THRESHOLD,探测与恢复,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
MEMORY_ACTIVE_RETRIEVAL_TH,记忆检索,2.5367,1.0495,6.0285,2.8864,0.2721,14.4028,2.5674,0.3721,1.2752,3.8783,1.0461
MEMORY_ACTIVE_ABSENT_STEPS_TH,记忆检索,0.5138,1.2227,0.3583,3.2559,3.7216,4.2625,0.4402,0.3324,5.8064,0.3415,0.4926
LANDMARK_DECAY_RATE,记忆检索,0.1255,0.2416,0.1188,0.5724,1.0036,1.7933,0.0819,0.0192,0.5435,0.1681,0.4299
VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK,动态风险,0.0500,0.2266,0.0173,0.1384,0.0851,0.8750,0.0458,0.0307,0.3101,0.0336,0.1463
LOOMING_BOOST_PEAK,动态风险,0.0668,0.4045,0.1222,0.6897,0.9220,0.2151,0.0452,0.0889,0.2310,0.1304,0.0356
LOOMING_BOOST_DECAY,动态风险,0.1211,0.3122,0.0859,0.3684,1.3759,0.8371,0.0921,0.0571,0.5833,0.1061,0.2332
